ifeng.com,123.125.72.60
goo.ne.jp,218.213.142.230
bbc.co.uk,212.58.241.131
yandex.ru,87.250.250.11
myspace.com,216.178.46.224
mail.ru,94.100.191.245
cnet.com,64.30.224.118
go.com,68.71.220.3
4399.com,115.182.52.231
orkut.com,74.125.129.86
facebook.com,173.252.110.27
youtube.com,74.125.224.32
yahoo.com,98.138.253.109
live.com,65.55.206.154
wikipedia.org,208.80.152.201
msn.com,65.55.206.228
baidu.com,123.125.114.144
blogspot.com,74.125.129.191
microsoft.com,64.4.11.37
qq.com,125.39.127.22
taobao.com,119.167.195.241
bing.com,131.253.13.32
sina.com.cn,202.108.33.60
soso.com,61.135.167.27
163.com,123.58.180.8
ask.com,66.235.120.127
adobe.com,192.150.16.117
twitter.com,199.59.148.82
mozilla.com,63.245.217.20
youku.com,123.126.99.31
sdjjdsaf.com,
andysayler.com,208.97.176.21
wmfo.org,69.163.231.52
amazon.com,205.251.242.54
wordpress.com,72.233.104.124
tudou.com,114.80.121.166
yahoo.co.jp,124.83.187.140
sohu.com,61.135.181.176
apple.com,17.149.160.49
hao123.com,180.149.132.19
windows.com,64.4.11.37
skype.com,78.141.177.180
ameblo.jp,180.233.142.129
naver.com,202.131.30.11
flickr.com,68.142.214.24
4shared.com,74.117.178.92
amazon.co.jp,176.32.120.142
linkedin.com,216.52.242.86
dailymotion.com,195.8.215.137
imdb.com,72.21.206.80
aol.com,205.188.101.58
ebay.com,66.211.160.87
pps.tv,211.151.142.154
xunlei.com,58.251.57.168
56.com,61.142.208.67
fc2.com,50.112.138.148
paypal.com,66.211.169.3
hotmail.com,65.55.72.167
360.cn,220.181.24.100
craigslist.org,208.82.236.225
weather.com,96.8.80.132
soku.com,123.126.99.35
alibaba.com,205.204.112.1
megaupload.com,
renren.com,220.181.181.223
livedoor.jp,125.6.149.67
blogger.com,74.125.129.191
paipai.com,112.90.140.151
alipay.com,110.75.143.33
softonic.com,46.28.209.20
nifty.com,210.131.4.217
vkontakte.ru,87.240.156.166
answers.com,67.196.156.65
rapidshare.com,80.239.220.8
sogou.com,220.181.124.201
tmall.com,101.226.178.41
ku6.com,122.11.45.242
rakuten.co.jp,202.72.51.22
about.com,207.241.148.80
orkut.com.br,74.125.129.85
imageshack.us,208.94.2.7
cnn.com,157.166.255.19
tianya.cn,124.225.135.222
mywebsearch.com,74.113.233.48
zynga.com,184.75.160.52
partypoker.com,195.81.248.141
hp.com,15.192.124.145
daum.net,110.45.215.23
7k7k.com,115.182.59.33
2345.com,211.151.66.100
walmart.com,161.170.248.20
kugou.com,113.106.27.244
ebay.de,66.135.200.23
youdao.com,61.135.218.29
photobucket.com,209.17.80.100
mediafire.com,205.196.120.12
ehow.com,98.124.247.46
seesaa.net,59.106.98.139
hotfile.com,199.7.177.230
qiyi.com,202.108.14.56
pconline.com.cn,219.136.245.40
odnoklassniki.ru,217.20.147.94
jp.msn.com,202.89.231.47
